time,x,y,z
1597981101.0,526,17,114
1597981102.0,532,16,1
1597981103.0,528,16,115
1597981104.0,530,17,4
1597981105.0,553,13,1
1597981106.0,541,2,82
1597981107.0,537,15,75
1597981108.0,547,10,189
1597981109.0,553,13,63
1597981110.0,542,0,84
1597981111.0,545,12,38
1597981112.0,544,1,101
1597981113.0,554,8,176
1597981114.0,534,16,3
1597981115.0,545,14,0
1597981116.0,549,9,81
1597981117.0,546,9,125
1597981118.0,554,4,52
1597981119.0,540,18,92
1597981120.0,535,18,0
1597981121.0,588,10,108
1597981122.0,600,3,143
1597981123.0,605,6,181
1597981124.0,604,16,123
1597981125.0,594,13,21
1597981126.0,589,0,139
1597981127.0,604,17,135
1597981128.0,593,2,7
1597981129.0,609,14,27
1597981130.0,592,13,182
1597981131.0,611,7,174
1597981132.0,607,8,147
1597981133.0,612,2,114
1597981134.0,594,16,97
1597981135.0,611,6,112
1597981136.0,606,17,54
1597981137.0,615,6,133
1597981138.0,601,18,29
1597981139.0,593,4,81
1597981140.0,606,12,148
1597981141.0,444,4,63
1597981142.0,459,7,144
1597981143.0,472,14,120
1597981144.0,458,4,195
1597981145.0,465,0,43
1597981146.0,465,12,64
1597981147.0,469,16,61
1597981148.0,470,17,4
1597981149.0,452,13,35
1597981150.0,454,10,143
1597981151.0,446,2,177
1597981152.0,444,16,13
1597981153.0,467,15,191
1597981154.0,467,7,83
1597981155.0,458,9,122
1597981156.0,471,13,126
1597981157.0,457,8,169
1597981158.0,473,0,136
1597981159.0,466,13,179
1597981160.0,448,8,176
1597981161.0,136,18,92
1597981162.0,155,13,79
1597981163.0,163,15,132
1597981164.0,160,0,98
1597981165.0,149,12,36
1597981166.0,157,19,31
1597981167.0,159,12,7
1597981168.0,142,1,33
1597981169.0,142,2,47
1597981170.0,161,3,73
1597981171.0,151,17,36
1597981172.0,141,13,17
1597981173.0,164,9,92
1597981174.0,149,11,36
1597981175.0,137,17,10
1597981176.0,159,6,198
1597981177.0,148,15,110
1597981178.0,140,7,41
1597981179.0,142,19,105
1597981180.0,160,1,105
1597981181.0,333,9,178
1597981182.0,347,8,155
1597981183.0,359,14,100
1597981184.0,362,11,92
1597981185.0,349,9,190
1597981186.0,359,18,43
1597981187.0,362,8,111
1597981188.0,344,13,9
1597981189.0,349,4,150
1597981190.0,361,11,38
1597981191.0,334,1,182
1597981192.0,357,12,108
1597981193.0,340,18,196
1597981194.0,338,4,101
1597981195.0,336,9,153
1597981196.0,348,1,38
1597981197.0,338,1,192
1597981198.0,358,4,195
1597981199.0,339,10,71
1597981200.0,344,4,66
1597981201.0,485,0,18
1597981202.0,511,3,43
1597981203.0,496,10,116
1597981204.0,498,10,78
1597981205.0,502,13,10
1597981206.0,494,5,170
1597981207.0,495,0,110
1597981208.0,506,1,113
1597981209.0,510,11,147
1597981210.0,513,16,141
1597981211.0,487,3,10
1597981212.0,501,16,127
1597981213.0,486,9,149
1597981214.0,499,12,178
1597981215.0,506,13,140
1597981216.0,509,10,54
1597981217.0,493,2,11
1597981218.0,498,12,70
1597981219.0,503,17,54
1597981220.0,499,4,76
1597981221.0,173,14,131
1597981222.0,190,12,120
1597981223.0,181,9,141
1597981224.0,177,15,149
1597981225.0,186,15,155
1597981226.0,175,3,122
1597981227.0,200,9,56
1597981228.0,182,11,197
1597981229.0,192,17,163
1597981230.0,183,9,149
1597981231.0,192,19,92
1597981232.0,185,7,70
1597981233.0,199,1,17
1597981234.0,198,12,91
1597981235.0,194,4,58
1597981236.0,202,8,56
1597981237.0,190,6,199
1597981238.0,192,17,34
1597981239.0,192,2,62
1597981240.0,199,19,162
1597981241.0,569,14,148
1597981242.0,590,3,68
1597981243.0,572,16,93
1597981244.0,590,8,14
1597981245.0,582,12,22
1597981246.0,584,12,169
1597981247.0,593,4,197
1597981248.0,598,15,184
1597981249.0,583,6,126
1597981250.0,580,18,65
1597981251.0,582,3,125
1597981252.0,570,16,127
1597981253.0,589,2,24
1597981254.0,593,4,187
1597981255.0,589,14,105
1597981256.0,577,1,191
1597981257.0,593,16,86
1597981258.0,584,14,199
1597981259.0,572,3,114
1597981260.0,571,3,119
1597981261.0,544,16,38
1597981262.0,566,11,130
1597981263.0,572,19,195
1597981264.0,549,16,23
1597981265.0,552,3,58
1597981266.0,566,2,62
1597981267.0,566,19,186
1597981268.0,572,11,137
1597981269.0,563,19,21
1597981270.0,558,19,17
1597981271.0,549,7,185
1597981272.0,562,5,162
1597981273.0,568,6,101
1597981274.0,566,15,108
1597981275.0,547,18,148
1597981276.0,551,11,48
1597981277.0,554,14,26
1597981278.0,569,15,86
1597981279.0,570,18,40
1597981280.0,563,1,130
1597981281.0,296,12,140
1597981282.0,316,16,172
1597981283.0,323,5,17
1597981284.0,304,15,100
1597981285.0,325,1,164
1597981286.0,318,6,31
1597981287.0,297,4,33
1597981288.0,296,3,84
1597981289.0,300,4,195
1597981290.0,323,5,78
1597981291.0,311,6,112
1597981292.0,311,12,21
1597981293.0,316,15,108
1597981294.0,318,3,13
1597981295.0,320,9,112
1597981296.0,324,7,78
1597981297.0,303,19,195
1597981298.0,317,12,112
1597981299.0,324,6,87
1597981300.0,301,15,40
1597981301.0,530,12,117
1597981302.0,535,17,83
1597981303.0,559,15,155
1597981304.0,539,5,155
1597981305.0,546,13,187
1597981306.0,552,6,53
1597981307.0,556,8,132
1597981308.0,531,0,31
1597981309.0,541,8,49
1597981310.0,543,7,76
1597981311.0,549,7,193
1597981312.0,549,10,40
1597981313.0,536,17,19
1597981314.0,559,2,25
1597981315.0,546,7,42
1597981316.0,531,15,174
1597981317.0,533,1,39
1597981318.0,546,0,120
1597981319.0,541,19,99
1597981320.0,539,7,79
1597981321.0,116,9,7
1597981322.0,140,11,146
1597981323.0,140,11,65
1597981324.0,116,11,199
1597981325.0,124,11,5
1597981326.0,139,1,126
1597981327.0,122,11,101
1597981328.0,129,11,122
1597981329.0,139,4,171
1597981330.0,127,8,174
1597981331.0,119,9,135
1597981332.0,136,4,134
1597981333.0,129,7,165
1597981334.0,134,13,95
1597981335.0,133,17,135
1597981336.0,121,14,80
1597981337.0,120,5,47
1597981338.0,144,3,191
1597981339.0,122,11,105
1597981340.0,117,10,120
1597981341.0,158,2,14
1597981342.0,181,0,111
1597981343.0,172,19,90
1597981344.0,184,12,148
1597981345.0,177,7,158
1597981346.0,181,15,36
1597981347.0,171,3,82
1597981348.0,170,3,106
1597981349.0,160,7,66
1597981350.0,185,0,155
1597981351.0,171,3,52
1597981352.0,163,4,136
1597981353.0,172,10,56
1597981354.0,158,8,43
1597981355.0,161,4,176
1597981356.0,180,17,89
1597981357.0,182,7,96
1597981358.0,158,11,109
1597981359.0,160,1,115
1597981360.0,173,7,0
1597981361.0,580,6,116
1597981362.0,592,14,77
1597981363.0,598,7,68
1597981364.0,587,18,16
1597981365.0,599,19,81
1597981366.0,600,16,190
1597981367.0,606,18,160
1597981368.0,589,8,106
1597981369.0,591,13,90
1597981370.0,582,18,124
1597981371.0,594,3,16
1597981372.0,589,2,109
1597981373.0,606,7,92
1597981374.0,600,6,77
1597981375.0,589,6,59
1597981376.0,601,5,22
1597981377.0,598,14,104
1597981378.0,593,10,140
1597981379.0,594,3,187
1597981380.0,593,2,35
1597981381.0,4,10,24
1597981382.0,23,5,64
1597981383.0,32,10,19
1597981384.0,26,8,76
1597981385.0,6,15,14
1597981386.0,32,6,109
1597981387.0,11,0,50
1597981388.0,8,17,176
1597981389.0,31,17,120
1597981390.0,14,8,25
1597981391.0,22,0,22
1597981392.0,20,4,173
1597981393.0,23,16,90
1597981394.0,22,12,112
1597981395.0,6,9,16
1597981396.0,18,16,126
1597981397.0,18,19,73
1597981398.0,33,18,2
1597981399.0,5,19,167
1597981400.0,26,9,4
1597981401.0,38,1,52
1597981402.0,42,7,59
1597981403.0,43,2,146
1597981404.0,60,9,160
1597981405.0,41,12,165
1597981406.0,60,10,106
1597981407.0,60,2,175
1597981408.0,60,17,45
1597981409.0,55,7,134
1597981410.0,44,17,192
1597981411.0,42,7,32
1597981412.0,47,4,120
1597981413.0,39,18,128
1597981414.0,48,17,56
1597981415.0,54,15,167
1597981416.0,54,15,178
1597981417.0,62,11,84
1597981418.0,46,3,97
1597981419.0,54,11,162
1597981420.0,51,17,150
1597981421.0,321,4,84
1597981422.0,350,13,125
1597981423.0,330,0,74
1597981424.0,334,17,33
1597981425.0,334,13,85
1597981426.0,350,16,53
1597981427.0,325,6,169
1597981428.0,348,16,20
1597981429.0,345,19,147
1597981430.0,344,19,136
1597981431.0,327,13,75
1597981432.0,349,1,177
1597981433.0,346,9,7
1597981434.0,348,6,132
1597981435.0,347,3,188
1597981436.0,340,17,193
1597981437.0,333,16,147
1597981438.0,347,1,168
1597981439.0,341,5,146
1597981440.0,321,5,161
1597981441.0,396,0,68
1597981442.0,408,4,0
1597981443.0,412,4,9
1597981444.0,411,4,44
1597981445.0,397,15,161
1597981446.0,417,8,113
1597981447.0,412,0,5
1597981448.0,404,13,39
1597981449.0,408,0,28
1597981450.0,415,19,123
1597981451.0,397,12,163
1597981452.0,413,5,113
1597981453.0,411,0,0
1597981454.0,422,0,54
1597981455.0,417,2,26
1597981456.0,420,1,71
1597981457.0,411,9,73
1597981458.0,398,4,21
1597981459.0,414,14,112
1597981460.0,411,7,92
1597981461.0,130,3,58
1597981462.0,133,9,91
1597981463.0,152,16,122
1597981464.0,149,5,138
1597981465.0,139,18,26
1597981466.0,159,7,191
1597981467.0,138,6,193
1597981468.0,153,19,112
1597981469.0,155,11,149
1597981470.0,156,11,101
1597981471.0,153,2,66
1597981472.0,131,14,61
1597981473.0,133,16,150
1597981474.0,132,5,29
1597981475.0,143,9,186
1597981476.0,147,3,154
1597981477.0,151,3,51
1597981478.0,146,6,146
1597981479.0,145,1,142
1597981480.0,142,12,68
1597981481.0,390,15,54
1597981482.0,419,18,74
1597981483.0,405,15,48
1597981484.0,396,9,45
1597981485.0,398,6,80
1597981486.0,411,4,117
1597981487.0,394,10,105
1597981488.0,399,1,89
1597981489.0,394,12,98
1597981490.0,414,4,5
1597981491.0,409,15,194
1597981492.0,397,17,142
1597981493.0,397,3,114
1597981494.0,400,2,38
1597981495.0,402,10,43
1597981496.0,411,14,34
1597981497.0,393,5,91
1597981498.0,392,0,25
1597981499.0,409,10,154
1597981500.0,410,5,93
1597981501.0,323,11,93
1597981502.0,340,11,104
1597981503.0,335,7,2
1597981504.0,338,5,25
1597981505.0,338,2,164
1597981506.0,345,13,134
1597981507.0,350,0,101
1597981508.0,343,13,60
1597981509.0,347,14,100
1597981510.0,343,8,190
1597981511.0,332,5,95
1597981512.0,336,17,45
1597981513.0,331,4,153
