time,x,y,z
1597991102.0,46,8,21
1597991103.0,61,16,94
1597991104.0,59,12,186
1597991105.0,71,8,16
1597991106.0,72,7,164
1597991107.0,72,13,195
1597991108.0,69,0,31
1597991109.0,64,13,186
1597991110.0,69,15,97
1597991111.0,51,16,13
1597991112.0,49,17,120
1597991113.0,71,14,113
1597991114.0,68,2,23
1597991115.0,46,3,71
1597991116.0,74,1,167
1597991117.0,66,14,119
1597991118.0,63,18,81
1597991119.0,50,1,145
1597991120.0,70,1,137
1597991121.0,72,2,198
1597991122.0,4,16,19
1597991123.0,22,16,29
1597991124.0,13,8,83
1597991125.0,6,16,193
1597991126.0,8,0,5
1597991127.0,19,2,192
1597991128.0,8,19,188
1597991129.0,20,10,196
1597991130.0,18,14,149
1597991131.0,19,2,138
1597991132.0,23,3,49
1597991133.0,21,0,26
1597991134.0,14,7,126
1597991135.0,8,6,114
1597991136.0,12,5,94
1597991137.0,26,3,56
1597991138.0,23,5,83
1597991139.0,18,2,91
1597991140.0,20,18,183
1597991141.0,25,5,7
1597991142.0,249,5,159
1597991143.0,268,19,30
1597991144.0,263,0,79
1597991145.0,259,6,193
1597991146.0,263,17,110
1597991147.0,269,5,117
1597991148.0,259,18,126
1597991149.0,268,12,104
1597991150.0,275,6,175
1597991151.0,277,0,7
1597991152.0,249,13,70
1597991153.0,260,14,95
1597991154.0,274,5,46
1597991155.0,263,4,38
1597991156.0,249,10,148
1597991157.0,278,16,186
1597991158.0,268,1,185
1597991159.0,253,12,130
1597991160.0,258,0,95
1597991161.0,275,18,122
1597991162.0,562,16,167
1597991163.0,578,1,76
1597991164.0,565,9,48
1597991165.0,564,17,101
1597991166.0,571,1,97
1597991167.0,563,19,119
1597991168.0,562,12,188
1597991169.0,577,2,149
1597991170.0,564,16,69
1597991171.0,589,6,110
1597991172.0,578,14,56
1597991173.0,578,1,32
1597991174.0,567,1,172
1597991175.0,575,13,11
1597991176.0,585,0,16
1597991177.0,571,6,6
1597991178.0,589,13,7
1597991179.0,586,9,111
1597991180.0,579,14,25
1597991181.0,583,0,46
1597991182.0,368,16,139
1597991183.0,394,1,44
1597991184.0,380,17,142
1597991185.0,375,11,45
1597991186.0,393,16,108
1597991187.0,386,15,138
1597991188.0,385,19,192
1597991189.0,393,18,52
1597991190.0,384,1,27
1597991191.0,388,9,173
1597991192.0,381,2,47
1597991193.0,386,5,101
1597991194.0,388,5,128
1597991195.0,382,4,131
1597991196.0,387,5,106
1597991197.0,383,3,14
1597991198.0,384,17,163
1597991199.0,380,8,63
1597991200.0,379,13,110
1597991201.0,377,0,71
1597991202.0,480,8,32
1597991203.0,487,10,185
1597991204.0,490,18,123
1597991205.0,493,0,96
1597991206.0,483,6,83
1597991207.0,490,3,71
1597991208.0,485,14,180
1597991209.0,493,9,76
1597991210.0,508,17,170
1597991211.0,494,10,33
1597991212.0,482,12,129
1597991213.0,496,18,116
1597991214.0,485,15,117
1597991215.0,506,19,184
1597991216.0,493,19,32
1597991217.0,509,13,142
1597991218.0,487,5,40
1597991219.0,490,5,131
1597991220.0,488,15,15
1597991221.0,486,4,72
1597991222.0,504,18,91
1597991223.0,521,4,102
1597991224.0,504,3,55
1597991225.0,514,14,42
1597991226.0,511,18,91
1597991227.0,511,7,169
1597991228.0,512,2,65
1597991229.0,506,11,13
1597991230.0,532,19,12
1597991231.0,515,4,152
1597991232.0,512,15,141
1597991233.0,532,6,168
1597991234.0,514,13,73
1597991235.0,516,6,95
1597991236.0,525,16,70
1597991237.0,514,16,135
1597991238.0,507,11,70
1597991239.0,519,0,111
1597991240.0,523,15,38
1597991241.0,520,16,137
1597991242.0,608,2,85
1597991243.0,632,7,195
1597991244.0,611,5,36
1597991245.0,637,8,56
1597991246.0,622,5,127
1597991247.0,630,18,123
1597991248.0,612,7,48
1597991249.0,622,3,128
1597991250.0,619,3,115
1597991251.0,627,12,191
1597991252.0,635,8,2
1597991253.0,619,3,58
1597991254.0,622,6,133
1597991255.0,633,12,104
1597991256.0,630,4,196
1597991257.0,611,5,151
1597991258.0,635,1,143
1597991259.0,626,17,14
1597991260.0,632,3,121
1597991261.0,630,5,154
1597991262.0,599,5,131
1597991263.0,601,12,94
1597991264.0,613,1,92
1597991265.0,617,0,131
1597991266.0,600,10,90
1597991267.0,625,0,125
1597991268.0,619,18,44
1597991269.0,609,17,66
1597991270.0,602,15,185
